chrom1	start1	end1	chrom2	start2	end2	bin1	bin2	kernel_id	iteration	score	pvalue	qvalue
chr17	1650000	1655000	chr17	2035000	2040000	498494	498571	0	0	0.5300610278	0.0000000000	0.0000000000
chr17	1665000	1670000	chr17	1785000	1790000	498497	498521	0	0	0.6402924822	0.0000000000	0.0000000000
chr17	1665000	1670000	chr17	1865000	1870000	498497	498537	0	0	0.6959961760	0.0000000000	0.0000000000
chr17	1665000	1670000	chr17	1705000	1710000	498497	498505	0	0	0.5878161699	0.0000000000	0.0000000000
chr17	1670000	1675000	chr17	2325000	2330000	498498	498629	0	0	0.3207238938	0.0000000188	0.0000000207
chr17	1715000	1720000	chr17	2035000	2040000	498507	498571	0	0	0.7547311491	0.0000000000	0.0000000000
chr17	1720000	1725000	chr17	1780000	1785000	498508	498520	0	0	0.7382285194	0.0000000000	0.0000000000
chr17	1720000	1725000	chr17	1865000	1870000	498508	498537	0	0	0.6458544401	0.0000000000	0.0000000000
chr17	1715000	1720000	chr17	2395000	2400000	498507	498643	0	0	0.3205566980	0.0000000192	0.0000000211
chr17	1790000	1795000	chr17	2030000	2035000	498522	498570	0	0	0.3867714590	0.0000000000	0.0000000000
chr17	1795000	1800000	chr17	1820000	1825000	498523	498528	0	0	0.4675130864	0.0000000000	0.0000000000
chr17	1825000	1830000	chr17	2030000	2035000	498529	498570	0	0	0.3237038565	0.0000000136	0.0000000152
chr17	1845000	1850000	chr17	1870000	1875000	498533	498538	0	0	0.4069988007	0.0000000001	0.0000000002
chr17	1905000	1910000	chr17	2025000	2030000	498545	498569	0	0	0.7144792025	0.0000000000	0.0000000000
chr17	1905000	1910000	chr17	2280000	2285000	498545	498620	0	0	0.6652995544	0.0000000000	0.0000000000
chr17	1900000	1905000	chr17	2350000	2355000	498544	498634	0	0	0.4520426365	0.0000000000	0.0000000000
chr17	1990000	1995000	chr17	2020000	2025000	498562	498568	0	0	0.3993838143	0.0000000001	0.0000000002
chr17	2050000	2055000	chr17	2355000	2360000	498574	498635	0	0	0.6822875079	0.0000000000	0.0000000000
chr17	2050000	2055000	chr17	2290000	2295000	498574	498622	0	0	0.5887140442	0.0000000000	0.0000000000
chr17	2065000	2070000	chr17	2175000	2180000	498577	498599	0	0	0.4750674521	0.0000000000	0.0000000000
chr17	2070000	2075000	chr17	2235000	2240000	498578	498611	0	0	0.4279922105	0.0000000000	0.0000000000
chr17	2060000	2065000	chr17	2085000	2090000	498576	498581	0	0	0.3623244775	0.0000000180	0.0000000199
chr17	2175000	2180000	chr17	2235000	2240000	498599	498611	0	0	0.6101377421	0.0000000000	0.0000000000
chr17	2185000	2190000	chr17	2400000	2405000	498601	498644	0	0	0.4407648970	0.0000000000	0.0000000000
chr17	2255000	2260000	chr17	2280000	2285000	498615	498620	0	0	0.7117435377	0.0000000000	0.0000000000
chr17	2290000	2295000	chr17	2415000	2420000	498622	498647	0	0	0.3194819104	0.0000000216	0.0000000236
chr17	2310000	2315000	chr17	2330000	2335000	498626	498630	0	0	0.4833170435	0.0000000000	0.0000000000
chr17	2380000	2385000	chr17	2415000	2420000	498640	498647	0	0	0.7465144759	0.0000000000	0.0000000000
chr17	2375000	2380000	chr17	2685000	2690000	498639	498701	0	0	0.6449179542	0.0000000000	0.0000000000
chr17	2375000	2380000	chr17	2795000	2800000	498639	498723	0	0	0.3952147745	0.0000000000	0.0000000000
chr17	2375000	2380000	chr17	2510000	2515000	498639	498666	0	0	0.3346482996	0.0000000040	0.0000000047
chr17	2375000	2380000	chr17	2595000	2600000	498639	498683	0	0	0.3281458314	0.0000000083	0.0000000095
chr17	2425000	2430000	chr17	2595000	2600000	498649	498683	0	0	0.4477628899	0.0000000000	0.0000000000
chr17	2425000	2430000	chr17	2680000	2685000	498649	498700	0	0	0.4683265115	0.0000000000	0.0000000000
chr17	2425000	2430000	chr17	2510000	2515000	498649	498666	0	0	0.3468908422	0.0000000009	0.0000000012
chr17	2470000	2475000	chr17	2500000	2505000	498658	498664	0	0	0.4225593133	0.0000000000	0.0000000000
chr17	2515000	2520000	chr17	2680000	2685000	498667	498700	0	0	0.6129096107	0.0000000000	0.0000000000
chr17	2535000	2540000	chr17	2580000	2585000	498671	498680	0	0	0.3932388830	0.0000000000	0.0000000000
chr17	2595000	2600000	chr17	2670000	2675000	498683	498698	0	0	0.6423105977	0.0000000000	0.0000000000
chr17	2710000	2715000	chr17	3015000	3020000	498706	498767	0	0	0.4369434596	0.0000000000	0.0000000000
chr17	2705000	2710000	chr17	3660000	3665000	498705	498896	0	0	0.3625434497	0.0000000001	0.0000000002
chr17	2720000	2725000	chr17	2800000	2805000	498708	498724	0	0	0.3479499475	0.0000000008	0.0000000010
chr17	2725000	2730000	chr17	2750000	2755000	498709	498714	0	0	0.4357647029	0.0000000000	0.0000000000
chr17	2815000	2820000	chr17	3645000	3650000	498727	498893	0	0	0.4688848016	0.0000000000	0.0000000000
chr17	2820000	2825000	chr17	3725000	3730000	498728	498909	0	0	0.4004564513	0.0000000000	0.0000000000
chr17	2830000	2835000	chr17	3015000	3020000	498730	498767	0	0	0.6272240185	0.0000000000	0.0000000000
chr17	2825000	2830000	chr17	3160000	3165000	498729	498796	0	0	0.3965107367	0.0000000000	0.0000000000
chr17	2825000	2830000	chr17	3240000	3245000	498729	498812	0	0	0.3945213583	0.0000000002	0.0000000002
chr17	2825000	2830000	chr17	3320000	3325000	498729	498828	0	0	0.3732229333	0.0000000005	0.0000000006
chr17	2820000	2825000	chr17	3385000	3390000	498728	498841	0	0	0.3103550585	0.0000000571	0.0000000601
chr17	2825000	2830000	chr17	3440000	3445000	498729	498852	0	0	0.4315642276	0.0000000000	0.0000000000
chr17	2830000	2835000	chr17	3215000	3220000	498730	498807	0	0	0.3088162083	0.0000024354	0.0000024464
chr17	2850000	2855000	chr17	2930000	2935000	498734	498750	0	0	0.7023803052	0.0000000000	0.0000000000
chr17	2935000	2940000	chr17	3000000	3005000	498751	498764	0	0	0.6087231569	0.0000000000	0.0000000000
chr17	3045000	3050000	chr17	3590000	3595000	498773	498882	0	0	0.5079127636	0.0000000000	0.0000000000
chr17	3040000	3045000	chr17	3725000	3730000	498772	498909	0	0	0.4167444820	0.0000000000	0.0000000000
chr17	3060000	3065000	chr17	3240000	3245000	498776	498812	0	0	0.4799309990	0.0000000000	0.0000000000
chr17	3475000	3480000	chr17	3645000	3650000	498859	498893	0	0	0.5447162030	0.0000000000	0.0000000000
chr17	3495000	3500000	chr17	3520000	3525000	498863	498868	0	0	0.3066791955	0.0000026013	0.0000026124
chr17	3535000	3540000	chr17	3640000	3645000	498871	498892	0	0	0.7214367406	0.0000000000	0.0000000000
chr17	3605000	3610000	chr17	3625000	3630000	498885	498889	0	0	0.3695139261	0.0000000222	0.0000000243
chr17	3680000	3685000	chr17	3715000	3720000	498900	498907	0	0	0.7795806289	0.0000000000	0.0000000000
chr17	3675000	3680000	chr17	3825000	3830000	498899	498929	0	0	0.5520446895	0.0000000000	0.0000000000
chr17	3675000	3680000	chr17	3895000	3900000	498899	498943	0	0	0.3863885324	0.0000000000	0.0000000000
chr17	3735000	3740000	chr17	3825000	3830000	498911	498929	0	0	0.7889409848	0.0000000000	0.0000000000
chr17	3735000	3740000	chr17	4075000	4080000	498911	498979	0	0	0.6440316670	0.0000000000	0.0000000000
chr17	3735000	3740000	chr17	3905000	3910000	498911	498945	0	0	0.6206635679	0.0000000000	0.0000000000
chr17	3735000	3740000	chr17	4005000	4010000	498911	498965	0	0	0.5838217791	0.0000000000	0.0000000000
chr17	3860000	3865000	chr17	4070000	4075000	498936	498978	0	0	0.6358531201	0.0000000000	0.0000000000
chr17	3860000	3865000	chr17	4005000	4010000	498936	498965	0	0	0.6756246773	0.0000000000	0.0000000000
chr17	3855000	3860000	chr17	3905000	3910000	498935	498945	0	0	0.5739223080	0.0000000000	0.0000000000
chr17	3855000	3860000	chr17	4410000	4415000	498935	499046	0	0	0.3463146542	0.0000000010	0.0000000012
chr17	3915000	3920000	chr17	4005000	4010000	498947	498965	0	0	0.7326199690	0.0000000000	0.0000000000
chr17	3910000	3915000	chr17	4070000	4075000	498946	498978	0	0	0.7271587863	0.0000000000	0.0000000000
chr17	3915000	3920000	chr17	4415000	4420000	498947	499047	0	0	0.6267142314	0.0000000000	0.0000000000
chr17	3910000	3915000	chr17	4155000	4160000	498946	498995	0	0	0.3660662308	0.0000000001	0.0000000001
chr17	4030000	4035000	chr17	4060000	4065000	498970	498976	0	0	0.5219814055	0.0000000000	0.0000000000
chr17	4210000	4215000	chr17	4410000	4415000	499006	499046	0	0	0.7047868434	0.0000000000	0.0000000000
chr17	4095000	4100000	chr17	4125000	4130000	498983	498989	0	0	0.4921912103	0.0000000000	0.0000000000
chr17	4215000	4220000	chr17	4300000	4305000	499007	499024	0	0	0.7501961448	0.0000000000	0.0000000000
chr17	4215000	4220000	chr17	4250000	4255000	499007	499014	0	0	0.5187071936	0.0000000000	0.0000000000
chr17	4270000	4275000	chr17	4410000	4415000	499018	499046	0	0	0.4151928203	0.0000000000	0.0000000000
chr17	4275000	4280000	chr17	4295000	4300000	499019	499023	0	0	0.3395562744	0.0000003404	0.0000003463
chr17	4375000	4380000	chr17	4400000	4405000	499039	499044	0	0	0.5469839780	0.0000000000	0.0000000000
chr17	4420000	4425000	chr17	4625000	4630000	499048	499089	0	0	0.6765728828	0.0000000000	0.0000000000
chr17	4425000	4430000	chr17	4540000	4545000	499049	499072	0	0	0.5772731051	0.0000000000	0.0000000000
chr17	4425000	4430000	chr17	4890000	4895000	499049	499142	0	0	0.5513813414	0.0000000000	0.0000000000
chr17	4560000	4565000	chr17	4890000	4895000	499076	499142	0	0	0.8110390181	0.0000000000	0.0000000000
chr17	4565000	4570000	chr17	4785000	4790000	499077	499121	0	0	0.6603364831	0.0000000000	0.0000000000
chr17	4565000	4570000	chr17	4625000	4630000	499077	499089	0	0	0.7650925898	0.0000000000	0.0000000000
chr17	4565000	4570000	chr17	4720000	4725000	499077	499108	0	0	0.4786906463	0.0000000000	0.0000000000
chr17	4565000	4570000	chr17	5060000	5065000	499077	499176	0	0	0.3195532891	0.0000000214	0.0000000234
chr17	4630000	4635000	chr17	4890000	4895000	499090	499142	0	0	0.5675973532	0.0000000000	0.0000000000
chr17	4630000	4635000	chr17	4775000	4780000	499090	499119	0	0	0.3488895972	0.0000000007	0.0000000009
chr17	4730000	4735000	chr17	4890000	4895000	499110	499142	0	0	0.7503863887	0.0000000000	0.0000000000
chr17	4735000	4740000	chr17	4780000	4785000	499111	499120	0	0	0.6319569993	0.0000000000	0.0000000000
chr17	4790000	4795000	chr17	4885000	4890000	499122	499141	0	0	0.6811316989	0.0000000000	0.0000000000
chr17	4910000	4915000	chr17	5060000	5065000	499146	499176	0	0	0.8153435115	0.0000000000	0.0000000000
chr17	4910000	4915000	chr17	4985000	4990000	499146	499161	0	0	0.3531415051	0.0000000005	0.0000000006
chr17	4910000	4915000	chr17	5175000	5180000	499146	499199	0	0	0.3921925389	0.0000000000	0.0000000000
chr17	4910000	4915000	chr17	5235000	5240000	499146	499211	0	0	0.3823818957	0.0000000000	0.0000000000
chr17	4980000	4985000	chr17	5060000	5065000	499160	499176	0	0	0.5568162290	0.0000000000	0.0000000000
chr17	5030000	5035000	chr17	5235000	5240000	499170	499211	0	0	0.4728321752	0.0000000000	0.0000000000
chr17	5030000	5035000	chr17	5060000	5065000	499170	499176	0	0	0.4456900248	0.0000000000	0.0000000000
chr17	5080000	5085000	chr17	5100000	5105000	499180	499184	0	0	0.5409472871	0.0000000000	0.0000000000
chr17	5090000	5095000	chr17	5180000	5185000	499182	499200	0	0	0.6009327724	0.0000000000	0.0000000000
chr17	5105000	5110000	chr17	5235000	5240000	499185	499211	0	0	0.3710181812	0.0000000000	0.0000000001
chr17	5195000	5200000	chr17	5235000	5240000	499203	499211	0	0	0.7249034800	0.0000000000	0.0000000000
chr17	5195000	5200000	chr17	5435000	5440000	499203	499251	0	0	0.4641610187	0.0000000000	0.0000000000
chr17	5195000	5200000	chr17	5305000	5310000	499203	499225	0	0	0.3353817315	0.0000000036	0.0000000043
chr17	5195000	5200000	chr17	5365000	5370000	499203	499237	0	0	0.4379413904	0.0000000000	0.0000000000
chr17	5245000	5250000	chr17	5435000	5440000	499213	499251	0	0	0.7231179195	0.0000000000	0.0000000000
chr17	5250000	5255000	chr17	6425000	6430000	499214	499449	0	0	0.6879909246	0.0000000000	0.0000000000
chr17	5250000	5255000	chr17	5365000	5370000	499214	499237	0	0	0.7248826777	0.0000000000	0.0000000000
chr17	5250000	5255000	chr17	5305000	5310000	499214	499225	0	0	0.3733098788	0.0000000001	0.0000000001
chr17	5250000	5255000	chr17	5575000	5580000	499214	499279	0	0	0.3352355742	0.0000000037	0.0000000044
chr17	5380000	5385000	chr17	5400000	5405000	499240	499244	0	0	0.5226550340	0.0000000000	0.0000000000
chr17	5460000	5465000	chr17	6435000	6440000	499256	499451	0	0	0.5141634478	0.0000000000	0.0000000000
chr17	5390000	5395000	chr17	5455000	5460000	499242	499255	0	0	0.3677044245	0.0000000001	0.0000000001
chr17	5465000	5470000	chr17	5705000	5710000	499257	499305	0	0	0.4202918016	0.0000000000	0.0000000000
chr17	5485000	5490000	chr17	5575000	5580000	499261	499279	0	0	0.6143692683	0.0000000000	0.0000000000
chr17	5500000	5505000	chr17	5780000	5785000	499264	499320	0	0	0.3976422747	0.0000000000	0.0000000000
chr17	5505000	5510000	chr17	5830000	5835000	499265	499330	0	0	0.3513863022	0.0000000005	0.0000000007
chr17	5545000	5550000	chr17	5565000	5570000	499273	499277	0	0	0.3730964977	0.0000000157	0.0000000174
chr17	5580000	5585000	chr17	6645000	6650000	499280	499493	0	0	0.3676255827	0.0000000001	0.0000000001
chr17	5590000	5595000	chr17	5780000	5785000	499282	499320	0	0	0.7266278407	0.0000000000	0.0000000000
chr17	5590000	5595000	chr17	5705000	5710000	499282	499305	0	0	0.7320281595	0.0000000000	0.0000000000
chr17	5590000	5595000	chr17	5835000	5840000	499282	499331	0	0	0.4503394248	0.0000000000	0.0000000000
chr17	5590000	5595000	chr17	6065000	6070000	499282	499377	0	0	0.5449451864	0.0000000000	0.0000000000
chr17	5590000	5595000	chr17	6225000	6230000	499282	499409	0	0	0.3644417056	0.0000000001	0.0000000001
chr17	5595000	5600000	chr17	5935000	5940000	499283	499351	0	0	0.4316923017	0.0000000000	0.0000000000
chr17	5595000	5600000	chr17	6150000	6155000	499283	499394	0	0	0.4119366773	0.0000000000	0.0000000000
chr17	5595000	5600000	chr17	6285000	6290000	499283	499421	0	0	0.4175538117	0.0000000000	0.0000000000
chr17	5595000	5600000	chr17	5875000	5880000	499283	499339	0	0	0.3369899700	0.0000000030	0.0000000036
chr17	5670000	5675000	chr17	6410000	6415000	499298	499446	0	0	0.4503377590	0.0000000000	0.0000000000
chr17	5705000	5710000	chr17	6065000	6070000	499305	499377	0	0	0.3731441459	0.0000000000	0.0000000000
chr17	5720000	5725000	chr17	5765000	5770000	499308	499317	0	0	0.5647092220	0.0000000000	0.0000000000
chr17	5720000	5725000	chr17	6415000	6420000	499308	499447	0	0	0.3421451022	0.0000000016	0.0000000020
chr17	5775000	5780000	chr17	6415000	6420000	499319	499447	0	0	0.5821861106	0.0000000000	0.0000000000
chr17	5790000	5795000	chr17	5825000	5830000	499322	499329	0	0	0.6151153621	0.0000000000	0.0000000000
chr17	5785000	5790000	chr17	6225000	6230000	499321	499409	0	0	0.3562965553	0.0000000003	0.0000000004
chr17	5845000	5850000	chr17	6415000	6420000	499333	499447	0	0	0.3459222203	0.0000000010	0.0000000013
chr17	5855000	5860000	chr17	5875000	5880000	499335	499339	0	0	0.3303554170	0.0000007418	0.0000007504
chr17	5875000	5880000	chr17	6410000	6415000	499339	499446	0	0	0.3960289408	0.0000000000	0.0000000000
chr17	5920000	5925000	chr17	6415000	6420000	499348	499447	0	0	0.3113575605	0.0000000514	0.0000000543
chr17	6000000	6005000	chr17	6415000	6420000	499364	499447	0	0	0.3522717123	0.0000000005	0.0000000006
chr17	6065000	6070000	chr17	6410000	6415000	499377	499446	0	0	0.6378986208	0.0000000000	0.0000000000
chr17	6170000	6175000	chr17	6410000	6415000	499398	499446	0	0	0.4501788966	0.0000000000	0.0000000000
chr17	6230000	6235000	chr17	6410000	6415000	499410	499446	0	0	0.5393648099	0.0000000000	0.0000000000
chr17	6265000	6270000	chr17	6300000	6305000	499417	499424	0	0	0.4059350717	0.0000000000	0.0000000000
chr17	6465000	6470000	chr17	6640000	6645000	499457	499492	0	0	0.7410934120	0.0000000000	0.0000000000
chr17	6460000	6465000	chr17	7015000	7020000	499456	499567	0	0	0.5753521975	0.0000000000	0.0000000000
chr17	6465000	6470000	chr17	6750000	6755000	499457	499514	0	0	0.4292887197	0.0000000000	0.0000000000
chr17	6470000	6475000	chr17	6590000	6595000	499458	499482	0	0	0.5900737931	0.0000000000	0.0000000000
chr17	6470000	6475000	chr17	6800000	6805000	499458	499524	0	0	0.4605577287	0.0000000000	0.0000000000
chr17	6590000	6595000	chr17	6635000	6640000	499482	499491	0	0	0.5452398640	0.0000000000	0.0000000000
chr17	6580000	6585000	chr17	7015000	7020000	499480	499567	0	0	0.3516034701	0.0000000005	0.0000000007
chr17	6660000	6665000	chr17	7005000	7010000	499496	499565	0	0	0.7760822152	0.0000000000	0.0000000000
chr17	6665000	6670000	chr17	6895000	6900000	499497	499543	0	0	0.6969711390	0.0000000000	0.0000000000
chr17	6665000	6670000	chr17	7150000	7155000	499497	499594	0	0	0.3316520864	0.0000000056	0.0000000065
chr17	6680000	6685000	chr17	6700000	6705000	499500	499504	0	0	0.4698304882	0.0000000000	0.0000000000
chr17	6670000	6675000	chr17	6745000	6750000	499498	499513	0	0	0.3443239441	0.0000000014	0.0000000017
chr17	6755000	6760000	chr17	7010000	7015000	499515	499566	0	0	0.4979845223	0.0000000000	0.0000000000
chr17	6840000	6845000	chr17	7005000	7010000	499532	499565	0	0	0.6997840904	0.0000000000	0.0000000000
chr17	6850000	6855000	chr17	6890000	6895000	499534	499542	0	0	0.5245437163	0.0000000000	0.0000000000
chr17	6840000	6845000	chr17	7135000	7140000	499532	499591	0	0	0.3276684292	0.0000000087	0.0000000100
chr17	6915000	6920000	chr17	7000000	7005000	499547	499564	0	0	0.7297219067	0.0000000000	0.0000000000
chr17	6910000	6915000	chr17	7135000	7140000	499546	499591	0	0	0.5160342999	0.0000000000	0.0000000000
chr17	7045000	7050000	chr17	7340000	7345000	499573	499632	0	0	0.7221716793	0.0000000000	0.0000000000
chr17	7035000	7040000	chr17	7480000	7485000	499571	499660	0	0	0.3029143096	0.0000001232	0.0000001268
chr17	7045000	7050000	chr17	7560000	7565000	499573	499676	0	0	0.4994873729	0.0000000000	0.0000000000
chr17	7050000	7055000	chr17	7130000	7135000	499574	499590	0	0	0.6995253555	0.0000000000	0.0000000000
chr17	7035000	7040000	chr17	7415000	7420000	499571	499647	0	0	0.3350812945	0.0000000038	0.0000000044
chr17	7040000	7045000	chr17	7720000	7725000	499572	499708	0	0	0.4175118426	0.0000000000	0.0000000000
chr17	7045000	7050000	chr17	7220000	7225000	499573	499608	0	0	0.3775985663	0.0000000000	0.0000000000
chr17	7140000	7145000	chr17	7295000	7300000	499592	499623	0	0	0.4405975516	0.0000000000	0.0000000000
chr17	7135000	7140000	chr17	7340000	7345000	499591	499632	0	0	0.4171859870	0.0000000000	0.0000000000
chr17	7140000	7145000	chr17	7170000	7175000	499592	499598	0	0	0.4680614360	0.0000000000	0.0000000000
chr17	7225000	7230000	chr17	7295000	7300000	499609	499623	0	0	0.5907062225	0.0000000000	0.0000000000
chr17	7235000	7240000	chr17	7570000	7575000	499611	499678	0	0	0.4389601231	0.0000000000	0.0000000000
chr17	7240000	7245000	chr17	7480000	7485000	499612	499660	0	0	0.3687129977	0.0000000001	0.0000000001
chr17	7250000	7255000	chr17	7840000	7845000	499614	499732	0	0	0.3660241797	0.0000000001	0.0000000001
chr17	7255000	7260000	chr17	7690000	7695000	499615	499702	0	0	0.3680750845	0.0000000001	0.0000000001
chr17	7280000	7285000	chr17	7340000	7345000	499620	499632	0	0	0.5948268676	0.0000000000	0.0000000000
chr17	7355000	7360000	chr17	7560000	7565000	499635	499676	0	0	0.6207835253	0.0000000000	0.0000000000
chr17	7355000	7360000	chr17	7690000	7695000	499635	499702	0	0	0.4421315409	0.0000000000	0.0000000000
chr17	7355000	7360000	chr17	7435000	7440000	499635	499651	0	0	0.6180423069	0.0000000000	0.0000000000
chr17	7355000	7360000	chr17	7490000	7495000	499635	499662	0	0	0.6202464111	0.0000000000	0.0000000000
chr17	7360000	7365000	chr17	7390000	7395000	499636	499642	0	0	0.5288783903	0.0000000000	0.0000000000
chr17	7395000	7400000	chr17	7840000	7845000	499643	499732	0	0	0.3290951924	0.0000000074	0.0000000085
chr17	7405000	7410000	chr17	7560000	7565000	499645	499676	0	0	0.3271554733	0.0000000093	0.0000000105
chr17	7410000	7415000	chr17	7430000	7435000	499646	499650	0	0	0.4707164049	0.0000000000	0.0000000000
chr17	7430000	7435000	chr17	7685000	7690000	499650	499701	0	0	0.3691089322	0.0000000001	0.0000000001
chr17	7435000	7440000	chr17	7560000	7565000	499651	499676	0	0	0.4560492305	0.0000000000	0.0000000000
chr17	7440000	7445000	chr17	7480000	7485000	499652	499660	0	0	0.5128500319	0.0000000000	0.0000000000
